,Life Rate,Death Rate,Population,Std,Overall Std
0,0.01,0.01,82.96875,13.417536041967615,21.63542144971707
1,0.01,0.0196,73.48275862068965,16.76463990101492,17.057885911854793
2,0.01,0.0292,89.76288659793815,7.5077598287993865,19.732254041887604
3,0.01,0.0388,95.8578431372549,4.012772164723823,21.81433732343756
4,0.01,0.0484,95.5030303030303,4.111512650085001,18.499193391024846
5,0.01,0.057999999999999996,83.01945525291829,14.378824508831721,19.44431024793076
6,0.01,0.0676,92.84615384615384,5.1332209902334345,22.749889643613923
7,0.01,0.07719999999999999,89.76576576576576,9.191608937724304,17.80169371011885
8,0.01,0.0868,92.92105263157895,5.556953502171859,23.789624963498824
9,0.01,0.0964,98.18823529411765,0.3908999464902623,23.140738911757538
10,0.01,0.106,93.17391304347827,4.087650264894336,21.609853674309818
11,0.01,0.11559999999999998,93.93181818181819,3.550913629378471,17.978372128329895
12,0.01,0.1252,92.84126984126983,5.118303132770833,17.501635819461686
13,0.01,0.1348,98.53424657534246,0.49882579331597604,26.85088468854755
14,0.01,0.1444,95.43037974683544,2.3258783249290187,17.730103169805954
15,0.01,0.154,94.79545454545455,3.428354664045034,21.11516016328667
16,0.01,0.1636,96.85964912280701,1.3693204421816039,19.609485022877067
17,0.01,0.1732,93.2394366197183,3.5858280860750074,18.261644654160644
18,0.01,0.18280000000000002,93.8048780487805,4.511338086044019,19.202234474643017
19,0.01,0.1924,96.44444444444444,2.0761516427609465,19.297692695848855
20,0.01,0.20199999999999999,96.0909090909091,2.7913680404400423,22.940040110232548
21,0.01,0.2116,97.48,1.5651198037211078,19.745243065030355
22,0.01,0.22119999999999998,93.20560747663552,5.306913702161275,25.10040214503195
23,0.01,0.23079999999999998,96.40625,1.1418016191528193,16.77948432200733
24,0.01,0.2404,90.96363636363637,6.0059474655276235,22.012905994884523
25,0.01,0.25,94.2156862745098,3.6852313918369144,19.729444392406208
26,0.0196,0.01,72.4113924050633,14.080186162299333,23.32380352261507
27,0.0196,0.0196,75.73384615384616,14.292168667039322,19.377571700274686
28,0.0196,0.0292,68.81040892193309,16.16289417647472,17.256183473648935
29,0.0196,0.0388,87.52083333333333,7.866038772611168,24.19912510856369
30,0.0196,0.0484,91.60402684563758,8.546610295485776,21.006732899856488
31,0.0196,0.057999999999999996,96.45283018867924,1.3112868191618154,25.0314920993945
